IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.186.24,4,2,0.50,136.06,0.00
104.18.78.95,4,2,0.50,142.14,0.00
104.18.148.29,4,2,0.50,144.22,0.00
104.18.175.177,4,2,0.50,146.00,0.00
104.18.149.254,4,2,0.50,151.39,0.00
104.18.165.7,4,2,0.50,152.24,0.00
172.67.108.198,4,2,0.50,185.74,0.00
172.64.197.193,4,2,0.50,187.60,0.00
172.66.148.71,4,2,0.50,187.63,0.00
172.67.241.70,4,2,0.50,187.79,0.00
172.67.204.145,4,2,0.50,188.13,0.00
104.25.220.25,4,2,0.50,188.66,0.00
172.64.205.215,4,2,0.50,188.90,0.00
104.24.246.10,4,2,0.50,189.59,0.00
104.16.168.80,4,2,0.50,189.97,0.00
104.24.30.101,4,2,0.50,190.08,0.00
172.67.198.10,4,2,0.50,190.34,0.00
172.64.174.105,4,2,0.50,190.48,0.00
172.67.17.64,4,2,0.50,190.95,0.00
104.25.38.161,4,2,0.50,191.14,0.00
172.67.192.100,4,2,0.50,191.20,0.00
172.67.105.68,4,2,0.50,191.21,0.00
104.24.245.101,4,2,0.50,191.23,0.00
172.66.141.91,4,2,0.50,191.47,0.00
172.66.132.7,4,2,0.50,191.81,0.00
104.25.22.1,4,2,0.50,192.04,0.00
104.24.139.108,4,2,0.50,192.08,0.00
104.24.25.123,4,2,0.50,192.18,0.00
172.65.154.139,4,2,0.50,192.26,0.00
104.18.52.81,4,2,0.50,192.36,0.00
104.22.65.78,4,2,0.50,192.68,0.00
104.27.109.42,4,2,0.50,192.69,0.00
104.24.254.91,4,2,0.50,192.95,0.00
172.67.95.187,4,2,0.50,193.24,0.00
172.66.143.41,4,2,0.50,193.27,0.00
172.64.198.253,4,2,0.50,193.32,0.00
104.24.6.9,4,2,0.50,193.37,0.00
104.21.107.69,4,2,0.50,193.47,0.00
104.25.14.187,4,2,0.50,193.49,0.00
172.64.204.29,4,2,0.50,193.53,0.00
104.25.198.103,4,2,0.50,193.54,0.00
104.27.123.120,4,2,0.50,193.55,0.00
104.24.251.180,4,2,0.50,193.61,0.00
172.67.100.119,4,2,0.50,193.71,0.00
104.25.31.247,4,2,0.50,193.74,0.00
104.21.29.98,4,2,0.50,193.75,0.00
172.67.94.57,4,2,0.50,193.88,0.00
104.27.120.235,4,2,0.50,193.93,0.00
104.25.161.41,4,2,0.50,193.94,0.00
